Dates,Open Price ($),Close Price ($),Daily Trade Volume ($)
2021-10-15,0.222486,0.219437,191485210
2021-10-14,0.223552,0.222486,377515392
2021-10-13,0.236719,0.223552,276084581
2021-10-12,0.23378,0.236719,362165438
2021-10-11,0.253869,0.23378,621574356
2021-10-10,0.21907,0.253869,380880869
2021-10-09,0.226984,0.21907,812739013
2021-10-08,0.176138,0.226984,147307402
2021-10-07,0.168333,0.176138,128020225
2021-10-06,0.175362,0.168333,120614617
2021-10-05,0.178122,0.175362,227759590
2021-10-04,0.181135,0.178122,181883778
2021-10-03,0.163536,0.181135,118215166
2021-10-02,0.159696,0.163536,106677914
2021-10-01,0.150095,0.159696,92844866
2021-09-30,0.144617,0.150095,93778577
2021-09-29,0.145951,0.144617,134361164
2021-09-28,0.157575,0.145951,173390801
2021-09-27,0.175781,0.157575,296138982
2021-09-26,0.163714,0.175781,390546941
2021-09-25,0.150013,0.163714,226876810
2021-09-24,0.157742,0.150013,204323514
2021-09-23,0.136846,0.157742,152990600
2021-09-22,0.120041,0.136846,188999216
2021-09-21,0.127916,0.120041,187703261
2021-09-20,0.156922,0.127916,83411069
2021-09-19,0.165662,0.156922,172222387
2021-09-18,0.152317,0.165662,108711048
2021-09-17,0.163861,0.152317,144681230
2021-09-16,0.172885,0.163861,152325088
2021-09-15,0.172314,0.172885,175697510
2021-09-14,0.184507,0.172314,355990936
2021-09-13,0.216427,0.184507,360025512
2021-09-12,0.178279,0.216427,324371750
2021-09-11,0.16866,0.178279,407377867
2021-09-10,0.200023,0.16866,605518239
2021-09-09,0.141103,0.200023,436601551
2021-09-08,0.119997,0.141103,416656737
2021-09-07,0.130665,0.119997,66057168
2021-09-06,0.133389,0.130665,76337799
2021-09-05,0.124905,0.133389,59567993
2021-09-04,0.122229,0.124905,55797216
2021-09-03,0.119701,0.122229,51206348
2021-09-02,0.122348,0.119701,83313908
2021-09-01,0.120139,0.122348,303928623
2021-08-31,0.113691,0.120139,197624915
2021-08-30,0.101386,0.113691,31671773
2021-08-29,0.100228,0.101386,29548273
2021-08-28,0.104978,0.100228,47744360
2021-08-27,0.10075,0.104978,48930871
2021-08-26,0.109616,0.10075,48068023
2021-08-25,0.107965,0.109616,78153501
2021-08-24,0.115585,0.107965,68064748
2021-08-23,0.116676,0.115585,125647617
2021-08-22,0.108949,0.116676,74056457
2021-08-21,0.111069,0.108949,98200478
2021-08-20,0.100603,0.111069,46626868
2021-08-19,0.099281,0.100603,57236743
2021-08-18,0.095292,0.099281,65552150
2021-08-17,0.103324,0.095292,133202087
2021-08-16,0.108083,0.103324,65304671
2021-08-15,0.098019,0.108083,48785194
2021-08-14,0.098156,0.098019,40733789
2021-08-13,0.092432,0.098156,50806223
2021-08-12,0.09873,0.092432,79067369
2021-08-11,0.09175,0.09873,81833439
2021-08-10,0.092898,0.09175,64148676
2021-08-09,0.081189,0.092898,44078689
2021-08-08,0.083768,0.081189,40055061
2021-08-07,0.080205,0.083768,27077428
2021-08-06,0.077817,0.080205,21637048
2021-08-05,0.07799,0.077817,19612529
2021-08-04,0.073788,0.07799,22015398
2021-08-03,0.077765,0.073788,18172422
2021-08-02,0.076524,0.077765,33899352
2021-08-01,0.079159,0.076524,31167710
2021-07-31,0.07648,0.079159,23865088
2021-07-30,0.073688,0.07648,20143896
2021-07-29,0.071934,0.073688,24924636
2021-07-28,0.074254,0.071934,35159881
2021-07-27,0.072846,0.074254,58125489
2021-07-26,0.072708,0.072846,16326985
2021-07-25,0.072737,0.072708,40026181
2021-07-24,0.068955,0.072737,25410718
2021-07-23,0.064521,0.068955,29711007
2021-07-22,0.063881,0.064521,34491169
2021-07-21,0.057126,0.063881,23436690
2021-07-20,0.060047,0.057126,18004216
2021-07-19,0.06502,0.060047,14864735
2021-07-18,0.066055,0.06502,16621740
